State/UT,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
Andaman & Nicobar Islands,Andaman & Nicobar Islands,1,BISHNU PADA RAY,Bharatiya Janata Party,KULDEEP RAI SHARMA,Indian National Congress,24396
Andhra Pradesh,Amalapuram (SC),7,G M HARISH (BALAYOGI),Telugu Desam,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,342196
Andhra Pradesh,Anakapalle,5,C.M.RAMESH,Bharatiya Janata Party,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,296530
Andhra Pradesh,Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,188555
Andhra Pradesh,Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,50580
Andhra Pradesh,Bapatla (SC),15,KRISHNA PRASAD TENNETI,Telugu Desam,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,208031
Andhra Pradesh,Chittoor(SC),25,DAGGUMALLA PRASADA RAO,Telugu Desam,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,220479
Andhra Pradesh,Eluru,10,PUTTA MAHESH KUMAR,Telugu Desam,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,181857
Andhra Pradesh,Guntur,13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,344695
Andhra Pradesh,Hindupur,20,B K PARTHASARATHI,Telugu Desam,J SHANTHA,Yuvajana Sramika Rythu Congress Party,132427
Andhra Pradesh,Kadapa,21,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,62695
Andhra Pradesh,Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,229491
Andhra Pradesh,Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,111298
Andhra Pradesh,Machilipatnam,11,BALASHOWRY VALLABHANENI,Janasena Party,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,223179
Andhra Pradesh,Nandyal,17,DR BYREDDY SHABARI,Telugu Desam,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,111975
Andhra Pradesh,Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,276802
Andhra Pradesh,Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,159729
Andhra Pradesh,Nellore,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,245902
Andhra Pradesh,Ongole,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,50199
Andhra Pradesh,Rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139
Andhra Pradesh,Rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071
Andhra Pradesh,Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901
Andhra Pradesh,Thirupathi(SC),23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569
Andhra Pradesh,Vijayawada,12,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085
Andhra Pradesh,Visakhapatnam,4,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247
Andhra Pradesh,Vizianagaram,3,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351
Arunachal Pradesh,Arunachal East,2,TAPIR GAO,Bharatiya Janata Party,BOSIRAM SIRAM,Indian National Congress,30421
Arunachal Pradesh,Arunachal West,1,KIREN RIJIJU,Bharatiya Janata Party,NABAM TUKI,Indian National Congress,100738
Assam,Barpeta,3,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,DEEP BAYAN,Indian National Congress,222351
Assam,Darrang-Udalguri,4,DILIP SAIKIA,Bharatiya Janata Party,MADHAB RAJBANGSHI,Indian National Congress,329012
Assam,Dhubri,2,RAKIBUL HUSSAIN,Indian National Congress,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1012476
Assam,Dibrugarh,13,SARBANANDA SONOWAL,Bharatiya Janata Party,LURINJYOTI GOGOI,Assam Jatiya Parishad,279321
Assam,Diphu,6,AMARSING TISSO,Bharatiya Janata Party,J. I. KATHAR,Independent,147603
Assam,Guwahati,5,BIJULI KALITA MEDHI,Bharatiya Janata Party,MIRA BORTHAKUR GOSWAMI,Indian National Congress,251090
Assam,Jorhat,14,GAURAV GOGOI,Indian National Congress,TOPON KUMAR GOGOI,Bharatiya Janata Party,144393
Assam,Karimganj,7,KRIPANATH MALLAH,Bharatiya Janata Party,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360
Assam,Kaziranga,10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,248947
Assam,Kokrajhar,1,JOYANTA BASUMATARY,"United People’s Party, Liberal",KAMPA BORGOYARI,Bodoland Peoples Front,51583
Assam,Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,UDAY SHANKAR HAZARIKA,Indian National Congress,201257
Assam,Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231
Assam,Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311
Assam,Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408
Bihar,Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,SHAHNAWAZ,Rashtriya Janata Dal,20094
Bihar,Arrah,32,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),R. K. SINGH,Bharatiya Janata Party,59808
Bihar,Aurangabad,37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,SUSHIL KUMAR SINGH,Bharatiya Janata Party,79111
Bihar,Banka,27,GIRIDHARI YADAV,Janata Dal (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,103844
Bihar,Begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,81480
Bihar,Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal (United),AJEET SHARMA,Indian National Congress,104868
Bihar,Buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,30091
Bihar,Darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,178156
Bihar,Gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),KUMAR SARVJEET,Rashtriya Janata Dal,101812
Bihar,Gopalganj,17,DR. ALOK KUMAR SUMAN,Janata Dal (United),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,127180
Bihar,Hajipur,21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),SHIV CHANDRA RAM,Rashtriya Janata Dal,170105
Bihar,Jahanabad,36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,CHANDESHWAR PRASAD,Janata Dal (United),142591
Bihar,Jamui,40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),ARCHANA KUMARI,Rashtriya Janata Dal,112482
Bihar,Jhanjharpur,7,RAMPRIT MANDAL,Janata Dal (United),SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,184169
Bihar,Karakat,35,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),PAWAN SINGH,Independent,105858
Bihar,Katihar,11,TARIQ ANWAR,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal (United),49863
Bihar,Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India (Marxist),161131
Bihar,Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,MUJAHID ALAM,Janata Dal (United),59692
Bihar,Madhepura,13,DINESH CHANDRA YADAV,Janata Dal (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534
Bihar,Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945
Bihar,Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651
Bihar,Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),KUMARI ANITA,Rashtriya Janata Dal,80870
Bihar,Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927
Bihar,Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114
Bihar,Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670
Bihar,Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568
Bihar,Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174
Bihar,Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846
Bihar,Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847
Bihar,Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287
Bihar,Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251
Bihar,Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661
Bihar,Sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157
Bihar,Sheohar,4,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143
Bihar,Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356
Bihar,Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857
Bihar,Supaul,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803
Bihar,Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102
Bihar,Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634
Bihar,Valmiki Nagar,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675
Bihar,Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651
Bihar,Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),KUMARI ANITA,Rashtriya Janata Dal,80870
Bihar,Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927
Bihar,Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114
Bihar,Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670
Bihar,Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568
Bihar,Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174
Bihar,Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846
Bihar,Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847
Bihar,Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287
Bihar,Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251
Bihar,Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661
Bihar,Sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157
Bihar,Sheohar,4,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143
Bihar,Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356
Bihar,Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857
Bihar,Supaul,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803
Bihar,Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102
Bihar,Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634
Bihar,Valmiki Nagar,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675
Chandigarh,Chandigarh,1,MANISH TEWARI,Indian National Congress,SANJAY TANDON,Bharatiya Janata Party,2504
Chhattisgarh,BASTAR,10,MAHESH KASHYAP,Bharatiya Janata Party,KAWASI LAKHMA,Indian National Congress,55245
Chhattisgarh,BILASPUR,5,TOKHAN SAHU,Bharatiya Janata Party,DEVENDRA YADAV,Indian National Congress,164558
Chhattisgarh,DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,RAJENDRA SAHU,Indian National Congress,438226
Chhattisgarh,JANJGIR-CHAMPA,3,KAMLESH JANGDE,Bharatiya Janata Party,DR. SHIVKUMAR DAHARIYA,Indian National Congress,60000
Chhattisgarh,KANKER,11,BHOJRAJ NAG,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,1884
Chhattisgarh,KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,SAROJ PANDEY,Bharatiya Janata Party,43283
Chhattisgarh,MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,TAMRADHWAJ SAHU,Indian National Congress,145456
Chhattisgarh,RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391
Chhattisgarh,RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285
Chhattisgarh,RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411
Chhattisgarh,SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,2,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,AJIT RAMJIBHAI MAHALA,Indian National Congress,57584
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,1,PATEL UMESHBHAI BABUBHAI,Independent,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,6225
Goa,North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,RAMAKANT KHALAP,Indian National Congress,116015
Goa,South Goa,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535
Gujarat,Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,461755
Gujarat,Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,BHARAT YOGENDRA MAKWANA,Indian National Congress,286437
Gujarat,Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,JENNY THUMMAR,Indian National Congress,321068
Gujarat,Anand,16,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,AMIT CHAVDA,Indian National Congress,89939
Gujarat,Banaskantha,2,GENIBEN NAGAJI THAKOR,Indian National Congress,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,30406
Gujarat,Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,230253
Gujarat,Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,85696
Gujarat,Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,455289
Gujarat,Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,398777
Gujarat,Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,333677
Gujarat,Gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,SONAL RAMANBHAI PATEL,Indian National Congress,744716
Gujarat,Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,ADVOCATE J. P. MARAVIYA,Indian National Congress,238008
Gujarat,Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,135494
Gujarat,Kachchh,1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,268782
Gujarat,Kheda,17,DEVUSINH CHAUHAN,Bharatiya Janata Party,KALUSINH DABHI,Indian National Congress,357758
Gujarat,Mahesana,4,HARIBHAI PATEL,Bharatiya Janata Party,RAMJI THAKOR,Indian National Congress,328046
Gujarat,Navsari,25,C R PATIL,Bharatiya Janata Party,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,773551
Gujarat,Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,GULABSINH SOMSINH CHAUHAN,Indian National Congress,509342
Gujarat,Patan,3,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,CHANDANJI TALAJI THAKOR,Indian National Congress,31876
Gujarat,Porbandar,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,383360
Gujarat,Rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260
Gujarat,Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682
Gujarat,Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,,,-
Gujarat,Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617
Gujarat,Vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126
Gujarat,Valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704
Haryana,AMBALA,1,VARUN CHAUDHRY,Indian National Congress,BANTO KATARIA,Bharatiya Janata Party,49036
Haryana,BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Bharatiya Janata Party,RAO DAN SINGH,Indian National Congress,41510
Haryana,FARIDABAD,10,KRISHAN PAL,Bharatiya Janata Party,MAHENDER PRATAP SINGH,Indian National Congress,172914
Haryana,GURGAON,9,RAO INDERJIT SINGH,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,75079
Haryana,HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,RANJIT SINGH,Bharatiya Janata Party,63381
Haryana,KARNAL,5,MANOHAR LAL,Bharatiya Janata Party,DIVYANSHU BUDHIRAJA,Indian National Congress,232577
Haryana,KURUKSHETRA,2,NAVEEN JINDAL,Bharatiya Janata Party,DR SUSHIL GUPTA,Aam Aadmi Party,29021
Haryana,ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298
Haryana,SIRSA,3,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497
Haryana,SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816
Himachal Pradesh,HAMIRPUR,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,SATPAL RAIZADA,Indian National Congress,182357
Himachal Pradesh,KANGRA,1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,ANAND SHARMA,Indian National Congress,251895
Himachal Pradesh,MANDI,2,KANGNA RANAUT,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,74755
Himachal Pradesh,SHIMLA,4,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451
Jammu and Kashmir,ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,281794
Jammu and Kashmir,BARAMULLA,1,ABDUL RASHID SHEIKH,Independent,OMAR ABDULLAH,Jammu & Kashmir National Conference,204142
Jammu and Kashmir,JAMMU,5,JUGAL KISHORE,Bharatiya Janata Party,RAMAN BHALLA,Indian National Congress,135498
Jammu and Kashmir,SRINAGAR,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416
Jammu and Kashmir,UDHAMPUR,4,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373
Jharkhand,Chatra,4,KALI CHARAN SINGH,Bharatiya Janata Party,KRISHNA NAND TRIPATHI,Indian National Congress,220959
Jharkhand,Dhanbad,7,DULU MAHATO,Bharatiya Janata Party,ANUPAMA SINGH,Indian National Congress,331583
Jharkhand,Dumka,2,NALIN SOREN,Jharkhand Mukti Morcha,SITA MURMU,Bharatiya Janata Party,22527
Jharkhand,Giridih,6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,80880
Jharkhand,Godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,PRADEEP YADAV,Indian National Congress,101813
Jharkhand,Hazaribagh,14,MANISH JAISWAL,Bharatiya Janata Party,JAI PRAKASH BHAI PATEL,Indian National Congress,276686
Jharkhand,Jamshedpur,9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,259782
Jharkhand,Khunti,11,KALI CHARAN MUNDA,Indian National Congress,ARJUN MUNDA,Bharatiya Janata Party,149675
Jharkhand,Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),377014
Jharkhand,Lohardaga,12,SUKHDEO BHAGAT,Indian National Congress,SAMIR ORAON,Bharatiya Janata Party,139138
Jharkhand,Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,MAMTA BHUIYAN,Rashtriya Janata Dal,288807
Jharkhand,Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264
Jharkhand,Ranchi,8,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512
Jharkhand,Singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402
Karnataka,Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,SAMYUKTA SHIVANAND PATIL,Indian National Congress,68399
Karnataka,Bangalore central,25,P C MOHAN,Bharatiya Janata Party,MANSOOR ALI KHAN,Indian National Congress,32707
Karnataka,Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,259476
Karnataka,Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,D K SURESH,Indian National Congress,269647
Karnataka,Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,SOWMYA REDDY,Indian National Congress,277083
Karnataka,Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,MRINAL R HEBBALKAR,Indian National Congress,178437
Karnataka,Bellary,9,E. TUKARAM,Indian National Congress,B. SREERAMULU,Bharatiya Janata Party,98992
Karnataka,Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,BHAGWANTH KHUBA,Bharatiya Janata Party,128875
Karnataka,Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,RAJU ALAGUR.,Indian National Congress,77229
Karnataka,Chamarajanagar,22,SUNIL BOSE,Indian National Congress,BALARAJ.S,Bharatiya Janata Party,188706
Karnataka,Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,M.S. RAKSHA RAMAIAH,Indian National Congress,163460
Karnataka,Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,90834
Karnataka,Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,B.N.CHANDRAPPA,Indian National Congress,48121
Karnataka,Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,PADMARAJ.R.POOJARY,Indian National Congress,149208
Karnataka,Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,26094
Karnataka,Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,VINOD ASOOTI,Indian National Congress,97324
Karnataka,Gulbarga,5,RADHAKRISHNA,Indian National Congress,DR. UMESH G JADHAV,Bharatiya Janata Party,27205
